wind_ms,temp_C,rul_days,rul_years,wind_factor,temp_factor
5,20,7300.0,20.0,1.0,1.0
5,25,5794.013839683928,15.874010519681995,1.0,1.2599210498948732
5,30,4598.711832116287,12.599210498948732,1.0,1.5874010519681994
5,35,3650.0,10.0,1.0,2.0
5,40,2897.006919841964,7.937005259840998,1.0,2.5198420997897464
5,45,2299.355916058143,6.299605249474364,1.0,3.174802103936399
5,50,1825.0,5.0,1.0,4.0
5,55,1448.503459920982,3.968502629920499,1.0,5.039684199579493
5,60,1149.6779580290718,3.149802624737183,1.0,6.3496042078727974
5,65,912.5,2.5,1.0,8.0
15,20,1258.7191877313471,3.44854571981191,5.799546134795289,1.0
15,25,999.046081368649,2.7371125516949286,5.799546134795289,1.2599210498948732
15,30,792.9434002646503,2.172447671957946,5.799546134795289,1.5874010519681994
15,35,629.3595938656736,1.724272859905955,5.799546134795289,2.0
15,40,499.5230406843245,1.3685562758474643,5.799546134795289,2.5198420997897464
15,45,396.47170013232517,1.086223835978973,5.799546134795289,3.174802103936399
15,50,314.6797969328368,0.8621364299529775,5.799546134795289,4.0
15,55,249.76152034216224,0.6842781379237322,5.799546134795289,5.039684199579493
15,60,198.23585006616258,0.5431119179894865,5.799546134795289,6.3496042078727974
15,65,157.3398984664184,0.43106821497648873,5.799546134795289,8.0
25,20,555.8669501050364,1.5229231509727024,13.132639022018838,1.0
25,25,441.1918906755447,1.2087449059603965,13.132639022018838,1.2599210498948732
25,30,350.1742356890993,0.959381467641368,13.132639022018838,1.5874010519681994
25,35,277.9334750525182,0.7614615754863512,13.132639022018838,2.0
25,40,220.59594533777235,0.6043724529801983,13.132639022018838,2.5198420997897464
25,45,175.08711784454965,0.479690733820684,13.132639022018838,3.174802103936399
25,50,138.9667375262591,0.3807307877431756,13.132639022018838,4.0
25,55,110.29797266888617,0.30218622649009913,13.132639022018838,5.039684199579493
25,60,87.54355892227483,0.239845366910342,13.132639022018838,6.3496042078727974
25,65,69.48336876312955,0.1903653938715878,13.132639022018838,8.0
35,20,324.46361017804674,0.8889413977480732,22.498670948012276,1.0
35,25,257.5269380610156,0.7055532549616865,22.498670948012276,1.2599210498948732
35,30,204.39926619410275,0.5599979895728843,22.498670948012276,1.5874010519681994
35,35,162.23180508902337,0.4444706988740366,22.498670948012276,2.0
35,40,128.7634690305078,0.35277662748084326,22.498670948012276,2.5198420997897464
35,45,102.19963309705138,0.27999899478644213,22.498670948012276,3.174802103936399
35,50,81.11590254451168,0.2222353494370183,22.498670948012276,4.0
35,55,64.3817345152539,0.17638831374042163,22.498670948012276,5.039684199579493
35,60,51.09981654852569,0.13999949739322107,22.498670948012276,6.3496042078727974
35,65,40.55795127225584,0.11111767471850915,22.498670948012276,8.0
